Serial	Date	Open	High	Low	Close	Volume	Adj Close	code	name	market
0	2014-04-29	15.55	15.87	15.47	15.77	1988200	15.77	2527	新时达	SZ
1	2014-04-28	16.02	16.02	15.41	15.5	2134100	15.5	2527	新时达	SZ
2	2014-04-25	15.99	16.38	15.76	15.92	2660800	15.92	2527	新时达	SZ
3	2014-04-24	16.42	16.48	15.9	16	2730300	16	2527	新时达	SZ
4	2014-04-23	16.38	16.68	16.26	16.47	2278400	16.47	2527	新时达	SZ
5	2014-04-22	17.24	17.34	15.9	16.45	6284900	16.45	2527	新时达	SZ
6	2014-04-21	17.85	17.91	17.37	17.39	3270500	17.39	2527	新时达	SZ
7	2014-04-18	18.1	18.36	17.93	18.08	3166200	18.08	2527	新时达	SZ
8	2014-04-17	18.43	18.74	18.3	18.32	2510700	18.32	2527	新时达	SZ
9	2014-04-16	18.47	18.68	18.31	18.4	2839700	18.4	2527	新时达	SZ
10	2014-04-15	18.2	19.16	17.94	18.68	8030600	18.68	2527	新时达	SZ
11	2014-04-14	17.69	18.26	17.59	18.21	3294300	18.21	2527	新时达	SZ
12	2014-04-11	18	18.19	17.67	17.76	4142300	17.76	2527	新时达	SZ
13	2014-04-10	18.19	18.64	18.11	18.3	6812700	18.3	2527	新时达	SZ
14	2014-04-09	17.8	18.48	17.72	18.17	6429000	18.17	2527	新时达	SZ
15	2014-04-08	17.15	17.8	16.91	17.8	3874200	17.8	2527	新时达	SZ
17	2014-04-04	17.17	17.47	16.92	17.42	3284600	17.42	2527	新时达	SZ
18	2014-04-03	17	17.75	16.93	17.34	3721200	17.34	2527	新时达	SZ
19	2014-04-02	17.08	17.62	17	17.05	5344000	17.05	2527	新时达	SZ
20	2014-04-01	16.79	17.24	16.69	17.2	3657300	17.2	2527	新时达	SZ
21	2014-03-31	16.7	16.97	16.51	16.81	2486400	16.81	2527	新时达	SZ
22	2014-03-28	17.52	17.64	16.46	16.76	5273000	16.76	2527	新时达	SZ
23	2014-03-27	18.55	18.55	17.41	17.67	4639800	17.67	2527	新时达	SZ
24	2014-03-26	18.04	18.61	18.04	18.53	3001500	18.53	2527	新时达	SZ
25	2014-03-25	17.91	18.38	17.86	18.11	2677600	18.11	2527	新时达	SZ
26	2014-03-24	18.3	18.44	18.05	18.07	3467200	18.07	2527	新时达	SZ
27	2014-03-21	17.61	18.55	17.5	18.4	6384600	18.4	2527	新时达	SZ
